api_call_id,endpoint,user_id,user_type,request_timestamp,request_method,request_payload_size,response_status_code,response_time_ms,response_payload_size,success,error_message,ip_address,user_agent,api_version,rate_limit_remaining
API_0,/mentorship/communication/send,M3270,system,2026-04-18 01:19:22.968299,GET,2481,500,1167,4376,True,,192.168.1.9,MentorshipApp/1.0,v1,799
API_1,/mentorship/analytics/dashboard,M4139,admin,2026-04-13 21:56:22.968356,POST,6390,404,1716,1477,True,,192.168.1.32,MentorshipApp/1.0,v1,693
API_2,/mentorship/profiles/mentors,S3772,admin,2026-04-24 16:21:22.968384,DELETE,5641,401,328,434,True,,192.168.1.142,MentorshipApp/1.0,v1,562
API_3,/mentorship/communication/send,M2737,admin,2026-04-22 06:28:22.968407,DELETE,4905,500,241,2119,False,,192.168.1.182,MentorshipApp/1.0,v1,374
API_4,/mentorship/communication/history,S3092,mentor,2026-04-16 16:49:22.968429,POST,345,404,118,796,True,,192.168.1.150,MentorshipApp/1.0,v1,375
API_5,/mentorship/badges/calculate,S9074,mentor,2026-04-29 11:34:22.968452,GET,6411,500,391,3802,True,Error description 5,192.168.1.90,MentorshipApp/1.0,v1,34
API_6,/mentorship/profiles/mentors,S1005,mentor,2026-04-20 09:21:22.968482,POST,251,404,1343,3634,False,,192.168.1.42,MentorshipApp/1.0,v1,571
API_7,/mentorship/interview-score,M3374,mentor,2026-05-03 00:47:22.968505,POST,9414,403,1768,599,False,Error description 7,192.168.1.16,MentorshipApp/1.0,v1,242
API_8,/mentorship/analytics/dashboard,S6469,mentor,2026-04-18 01:50:22.968526,POST,5019,500,1693,4979,True,,192.168.1.136,MentorshipApp/1.0,v1,240
API_9,/mentorship/communication/history,M4482,mentor,2026-04-22 17:36:22.968549,GET,8659,403,94,4737,True,,192.168.1.209,MentorshipApp/1.0,v1,531
API_10,/mentorship/matches,S8321,admin,2026-04-18 09:12:22.968570,GET,1390,400,636,3432,True,,192.168.1.48,MentorshipApp/1.0,v1,817
API_11,/mentorship/communication/send,M2494,admin,2026-04-11 06:36:22.968594,GET,4068,404,675,3288,True,,192.168.1.192,MentorshipApp/1.0,v1,700
API_12,/mentorship/profiles/mentors,S518,mentor,2026-04-24 08:21:22.968616,POST,8600,403,514,3671,True,Error description 12,192.168.1.39,MentorshipApp/1.0,v1,956
