message_id,conversation_id,match_id,sender_id,sender_type,receiver_id,receiver_type,message_type,message_content,timestamp,message_status,response_time_minutes,attachment_count,is_edited,edit_timestamp,encryption_key
MSG_0_0,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,voice_note,Sample message content 0 in conversation 0,2026-04-24 05:22:17.016032,delivered,,3,False,,enc_key_5e20663dadd1e483
MSG_0_1,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,schedule_request,Sample message content 1 in conversation 0,2026-05-04 16:22:17.016116,delivered,1412.0,0,True,,enc_key_174882033225436b
MSG_0_2,CONV_0,MATCH_1331,ALUMNI_M5688,mentor,S3675,mentee,text,Sample message content 2 in conversation 0,2026-04-17 20:22:17.016162,replied,265.0,2,True,,enc_key_8de55a2e5745f73d
MSG_0_3,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,file,Sample message content 3 in conversation 0,2026-05-02 09:22:17.016213,replied,188.0,2,False,,enc_key_856e4980d5eb3351
MSG_0_4,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,schedule_request,Sample message content 4 in conversation 0,2026-04-08 00:22:17.016252,delivered,789.0,2,True,,enc_key_8efc299ca974ee46
MSG_0_5,CONV_0,MATCH_1331,ALUMNI_M5688,mentor,S3675,mentee,voice_note,Sample message content 5 in conversation 0,2026-04-09 13:22:17.016289,sent,2.0,0,False,,enc_key_ade82d56fe033105
MSG_0_6,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,text,Sample message content 6 in conversation 0,2026-04-19 06:22:17.016323,read,799.0,0,False,2026-04-23 11:22:17.016336,enc_key_8868fae7afbf7155
MSG_0_7,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,schedule_request,Sample message content 7 in conversation 0,2026-05-02 12:22:17.016364,replied,514.0,2,False,,enc_key_66bc78dc545e1a7b
MSG_0_8,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,voice_note,Sample message content 8 in conversation 0,2026-04-18 09:22:17.016397,sent,872.0,1,True,,enc_key_2492fe9dabfa5151
MSG_0_9,CONV_0,MATCH_1331,ALUMNI_M5688,mentor,S3675,mentee,video_call,Sample message content 9 in conversation 0,2026-04-11 09:22:17.016430,sent,610.0,0,False,,enc_key_abff13bba4555666
MSG_0_10,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,video_call,Sample message content 10 in conversation 0,2026-04-18 01:22:17.016466,replied,982.0,1,True,2026-04-30 11:22:17.016480,enc_key_7bc4500354e20f2b
MSG_0_11,CONV_0,MATCH_1331,ALUMNI_M5688,mentor,S3675,mentee,video_call,Sample message content 11 in conversation 0,2026-04-22 18:22:17.016507,delivered,741.0,1,True,,enc_key_0bcc799ca680006c
MSG_0_12,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,voice_note,Sample message content 12 in conversation 0,2026-05-02 13:22:17.016537,sent,137.0,0,False,,enc_key_d2b04c9628d67287
MSG_0_13,CONV_0,MATCH_1331,ALUMNI_M5688,mentor,S3675,mentee,video_call,Sample message content 13 in conversation 0,2026-04-14 11:22:17.016568,sent,572.0,0,True,,enc_key_48127dbe22c89983
