match_id,mentor_id,mentee_id,compatibility_score,match_date,match_status,mentor_response_time_hours,mentee_initiated,match_reason
MATCH_0,ALUMNI_M631,S4271,64.39,2026-04-15 11:22:12.466528,pending,,True,specific_request
MATCH_1,M163,S4930,49.33,2026-04-29 11:22:12.467022,completed,,True,specific_request
MATCH_2,M2040,S2664,46.0,2026-05-02 11:22:12.467450,pending,31.0,False,admin_assigned
MATCH_3,ALUMNI_M1628,S3638,51.0,2026-05-04 11:22:12.467924,completed,64.0,True,high_compatibility
MATCH_4,M371,S4198,51.0,2026-04-14 11:22:12.468324,completed,,True,admin_assigned
MATCH_5,ALUMNI_M1870,S645,48.0,2026-05-06 11:22:12.468784,rejected,18.0,False,high_compatibility
MATCH_6,ALUMNI_M4010,S2886,44.0,2026-04-08 11:22:12.469219,completed,,False,auto_suggestion
MATCH_7,M4591,S4361,51.0,2026-04-29 11:22:12.469653,rejected,7.0,False,admin_assigned
MATCH_8,M4698,S2843,68.5,2026-04-07 11:22:12.470101,pending,,True,specific_request
MATCH_9,M1042,S4683,61.36,2026-04-06 11:22:12.470508,accepted,,False,specific_request
MATCH_10,ALUMNI_M3023,S4949,51.0,2026-04-15 11:22:12.470906,accepted,,False,high_compatibility
MATCH_11,M864,S2430,51.0,2026-04-15 11:22:12.471309,rejected,,True,auto_suggestion
MATCH_12,ALUMNI_M1961,S306,68.5,2026-04-10 11:22:12.471758,completed,61.0,True,specific_request
MATCH_13,ALUMNI_M2700,S3675,68.5,2026-04-15 11:22:12.472252,completed,13.0,True,admin_assigned
MATCH_14,ALUMNI_M2360,S4540,51.0,2026-04-16 11:22:12.472717,rejected,,True,high_compatibility
MATCH_15,M1318,S1465,51.0,2026-04-11 11:22:12.473111,completed,45.0,True,specific_request
MATCH_16,ALUMNI_M517,S4861,51.0,2026-04-12 11:22:12.473494,accepted,59.0,False,auto_suggestion
MATCH_17,ALUMNI_M4188,S354,53.72,2026-04-30 11:22:12.473893,pending,31.0,False,specific_request
MATCH_18,M4669,S4427,51.0,2026-05-05 11:22:12.474298,rejected,,False,specific_request
MATCH_19,ALUMNI_M229,S255,55.0,2026-04-24 11:22:12.474758,rejected,49.0,False,specific_request
MATCH_20,M2477,S4527,51.0,2026-04-06 11:22:12.475189,pending,,False,admin_assigned
MATCH_21,ALUMNI_M5539,S2011,44.0,2026-04-21 11:22:12.475628,accepted,2.0,False,auto_suggestion
MATCH_22,ALUMNI_M4083,S3776,44.0,2026-04-15 11:22:12.476069,completed,,False,high_compatibility
MATCH_23,ALUMNI_M5729,S3447,44.0,2026-05-06 11:22:12.476500,completed,6.0,True,auto_suggestion
MATCH_24,ALUMNI_M580,S2910,48.0,2026-04-23 11:22:12.476946,accepted,22.0,True,high_compatibility
MATCH_25,ALUMNI_M1499,S4392,55.0,2026-04-26 11:22:12.477355,accepted,,False,specific_request
MATCH_26,ALUMNI_M2263,S1502,68.5,2026-04-25 11:22:12.477827,pending,,True,specific_request
MATCH_27,M3777,S4797,44.0,2026-05-06 11:22:12.478240,rejected,72.0,False,auto_suggestion
MATCH_28,M1835,S4792,68.5,2026-04-24 11:22:12.478673,completed,28.0,True,high_compatibility
MATCH_29,ALUMNI_M1633,S3108,48.0,2026-04-10 11:22:12.479092,accepted,,True,specific_request
MATCH_30,ALUMNI_M40,S1666,37.33,2026-04-23 11:22:12.479512,rejected,62.0,True,specific_request
MATCH_31,M781,S2235,44.0,2026-04-10 11:22:12.479950,rejected,20.0,False,auto_suggestion
MATCH_32,M3403,S4406,55.0,2026-04-08 11:22:12.480350,accepted,32.0,False,specific_request
MATCH_33,ALUMNI_M3162,S4721,39.71,2026-04-16 11:22:12.480796,completed,15.0,True,admin_assigned
MATCH_34,M1723,S4912,51.0,2026-04-27 11:22:12.481178,rejected,26.0,False,specific_request
MATCH_35,M484,S699,51.0,2026-04-18 11:22:12.481552,completed,64.0,False,specific_request
MATCH_36,ALUMNI_M3641,S4375,51.0,2026-04-26 11:22:12.481978,completed,,False,admin_assigned
MATCH_37,ALUMNI_M2000,S2039,49.0,2026-04-26 11:22:12.482367,accepted,20.0,False,auto_suggestion
MATCH_38,M1688,S47,51.0,2026-04-24 11:22:12.482815,pending,,False,admin_assigned
MATCH_39,ALUMNI_M1622,S2384,51.0,2026-05-01 11:22:12.483244,pending,72.0,False,auto_suggestion
MATCH_40,M3193,S4623,65.5,2026-04-12 11:22:12.483655,pending,54.0,False,specific_request
MATCH_41,ALUMNI_M1904,S924,44.0,2026-04-24 11:22:12.484088,accepted,,True,admin_assigned
MATCH_42,ALUMNI_M4749,S203,72.5,2026-04-27 11:22:12.484466,pending,39.0,False,auto_suggestion
MATCH_43,ALUMNI_M4384,S4858,55.0,2026-04-15 11:22:12.484910,completed,39.0,False,specific_request
MATCH_44,M1,S664,51.0,2026-05-05 11:22:12.485310,pending,49.0,True,admin_assigned
MATCH_45,M3759,S4188,55.0,2026-04-14 11:22:12.485804,accepted,34.0,True,high_compatibility
MATCH_46,ALUMNI_M3187,S773,51.0,2026-04-17 11:22:12.486244,accepted,4.0,False,auto_suggestion
MATCH_47,ALUMNI_M4126,S1146,51.0,2026-04-09 11:22:12.486659,completed,,True,auto_suggestion
MATCH_48,M3435,S1512,51.0,2026-04-07 11:22:12.487101,pending,10.0,True,high_compatibility
MATCH_49,ALUMNI_M408,S812,48.78,2026-04-07 11:22:12.487509,accepted,,False,specific_request
MATCH_50,M978,S749,51.0,2026-05-05 11:22:12.487942,completed,,True,auto_suggestion
MATCH_51,ALUMNI_M2200,S2345,72.5,2026-05-02 11:22:12.488340,accepted,,False,specific_request
MATCH_52,M3147,S1753,47.0,2026-04-25 11:22:12.488857,completed,11.0,True,auto_suggestion
MATCH_53,M4948,S2947,44.0,2026-04-15 11:22:12.489306,rejected,,False,admin_assigned
MATCH_54,ALUMNI_M4490,S1962,44.0,2026-04-14 11:22:12.489791,rejected,9.0,False,specific_request
MATCH_55,M2270,S1119,48.0,2026-05-03 11:22:12.490270,pending,47.0,True,specific_request
MATCH_56,ALUMNI_M2174,S4999,46.71,2026-05-03 11:22:12.490676,pending,7.0,False,auto_suggestion
MATCH_57,ALUMNI_M4069,S3331,40.67,2026-05-01 11:22:12.491100,accepted,,False,high_compatibility
MATCH_58,ALUMNI_M5486,S1421,44.0,2026-05-02 11:22:12.491514,completed,,True,auto_suggestion
MATCH_59,M2740,S302,44.0,2026-04-18 11:22:12.491951,accepted,,True,specific_request
MATCH_60,ALUMNI_M3347,S4190,44.0,2026-04-24 11:22:12.492367,pending,22.0,False,specific_request
MATCH_61,ALUMNI_M4570,S1869,51.0,2026-04-26 11:22:12.492788,accepted,,False,auto_suggestion
MATCH_62,ALUMNI_M1184,S4296,41.14,2026-04-09 11:22:12.493201,pending,13.0,False,high_compatibility
MATCH_63,M2887,S3888,51.0,2026-04-17 11:22:12.493613,rejected,,True,high_compatibility
MATCH_64,M2677,S1194,51.0,2026-04-20 11:22:12.494032,completed,,False,auto_suggestion
MATCH_65,ALUMNI_M2895,S291,47.67,2026-04-06 11:22:12.494422,completed,28.0,False,high_compatibility
MATCH_66,M4909,S2682,51.0,2026-05-02 11:22:12.494854,pending,,False,high_compatibility
MATCH_67,ALUMNI_M1404,S1059,51.0,2026-04-23 11:22:12.495248,completed,,False,specific_request
MATCH_68,ALUMNI_M2690,S158,51.0,2026-04-29 11:22:12.495650,completed,53.0,True,auto_suggestion
MATCH_69,ALUMNI_M3894,S36,48.0,2026-04-14 11:22:12.496082,accepted,46.0,False,high_compatibility
MATCH_70,M319,S3129,72.17,2026-04-23 11:22:12.496496,rejected,,True,high_compatibility
MATCH_71,ALUMNI_M3037,S4729,44.0,2026-04-24 11:22:12.496922,accepted,62.0,False,admin_assigned
MATCH_72,M3968,S2597,51.0,2026-05-06 11:22:12.497321,completed,46.0,False,admin_assigned
MATCH_73,ALUMNI_M2027,S1649,47.25,2026-05-01 11:22:12.497799,completed,28.0,True,auto_suggestion
MATCH_74,ALUMNI_M2150,S635,51.0,2026-05-03 11:22:12.498209,accepted,70.0,True,specific_request
MATCH_75,ALUMNI_M3948,S1050,61.5,2026-04-19 11:22:12.498625,accepted,67.0,True,auto_suggestion
MATCH_76,M1843,S4815,51.0,2026-04-21 11:22:12.499046,rejected,35.0,True,admin_assigned
MATCH_77,ALUMNI_M92,S1013,36.22,2026-04-13 11:22:12.499458,accepted,35.0,True,high_compatibility
MATCH_78,M172,S3019,52.5,2026-04-17 11:22:12.499933,completed,15.0,True,high_compatibility
MATCH_79,ALUMNI_M5352,S4154,44.0,2026-04-16 11:22:12.500346,pending,38.0,True,auto_suggestion
MATCH_80,ALUMNI_M5086,S1264,51.0,2026-05-01 11:22:12.500793,completed,61.0,False,specific_request
MATCH_81,ALUMNI_M362,S2064,44.0,2026-04-12 11:22:12.501198,completed,33.0,False,auto_suggestion
MATCH_82,ALUMNI_M5099,S907,68.5,2026-04-22 11:22:12.501613,rejected,13.0,False,specific_request
MATCH_83,ALUMNI_M3267,S3734,68.5,2026-04-27 11:22:12.502053,rejected,39.0,True,high_compatibility
MATCH_84,M4681,S3350,48.0,2026-04-26 11:22:12.502458,pending,72.0,False,specific_request
MATCH_85,ALUMNI_M233,S4891,44.0,2026-04-15 11:22:12.502903,completed,49.0,True,specific_request
MATCH_86,ALUMNI_M716,S4573,44.0,2026-04-15 11:22:12.503338,completed,54.0,True,admin_assigned
MATCH_87,M2242,S2008,51.0,2026-04-11 11:22:12.503803,rejected,35.0,False,admin_assigned
MATCH_88,ALUMNI_M1,S2879,55.0,2026-05-02 11:22:12.504209,rejected,59.0,True,high_compatibility
MATCH_89,ALUMNI_M2178,S3038,68.5,2026-05-05 11:22:12.504622,completed,12.0,False,specific_request
MATCH_90,ALUMNI_M533,S1446,51.0,2026-04-10 11:22:12.505055,accepted,38.0,False,admin_assigned
MATCH_91,ALUMNI_M1685,S2096,44.0,2026-04-17 11:22:12.505454,completed,52.0,True,auto_suggestion
MATCH_92,ALUMNI_M3769,S1773,55.0,2026-05-02 11:22:12.505912,rejected,62.0,False,admin_assigned
MATCH_93,M3820,S2298,61.5,2026-04-07 11:22:12.506318,completed,33.0,True,high_compatibility
MATCH_94,M3288,S2984,40.25,2026-05-05 11:22:12.506760,rejected,44.0,False,auto_suggestion
MATCH_95,M2907,S909,72.5,2026-04-15 11:22:12.507160,accepted,,True,admin_assigned
MATCH_96,ALUMNI_M4583,S2727,51.0,2026-04-14 11:22:12.507574,rejected,59.0,False,admin_assigned
MATCH_97,ALUMNI_M2760,S604,61.67,2026-04-09 11:22:12.508002,accepted,17.0,False,specific_request
MATCH_98,M3187,S4460,55.67,2026-04-26 11:22:12.508395,completed,,True,admin_assigned
MATCH_99,ALUMNI_M1493,S1973,51.0,2026-04-24 11:22:12.508831,rejected,,False,auto_suggestion
MATCH_100,ALUMNI_M4311,S927,55.0,2026-05-04 11:22:12.509180,rejected,40.0,True,auto_suggestion
MATCH_101,ALUMNI_M2158,S799,44.0,2026-04-28 11:22:12.509535,pending,,True,admin_assigned
MATCH_102,M620,S3565,72.5,2026-04-17 11:22:12.509963,accepted,62.0,False,specific_request
MATCH_103,M4351,S4473,50.67,2026-04-28 11:22:12.510335,rejected,,False,specific_request
MATCH_104,M595,S3943,65.5,2026-04-26 11:22:12.510718,completed,,True,admin_assigned
MATCH_105,ALUMNI_M2407,S2490,48.0,2026-05-06 11:22:12.511076,rejected,17.0,True,auto_suggestion
MATCH_106,M2711,S4581,61.5,2026-04-12 11:22:12.511430,completed,2.0,False,auto_suggestion
MATCH_107,M4594,S4373,51.0,2026-04-21 11:22:12.511826,pending,,True,high_compatibility
MATCH_108,ALUMNI_M4364,S1121,40.0,2026-04-08 11:22:12.512187,pending,49.0,True,auto_suggestion
MATCH_109,M3781,S1476,68.5,2026-04-23 11:22:12.512549,completed,70.0,True,specific_request
MATCH_110,ALUMNI_M5890,S2394,44.0,2026-05-04 11:22:12.512932,pending,55.0,False,high_compatibility
MATCH_111,ALUMNI_M1935,S1794,51.0,2026-05-02 11:22:12.513298,accepted,14.0,True,admin_assigned
MATCH_112,ALUMNI_M1297,S1994,51.0,2026-04-26 11:22:12.513679,accepted,69.0,False,high_compatibility
MATCH_113,ALUMNI_M5835,S1315,50.67,2026-04-22 11:22:12.514077,rejected,,True,auto_suggestion
MATCH_114,M769,S4378,44.0,2026-05-06 11:22:12.514456,accepted,57.0,True,admin_assigned
MATCH_115,ALUMNI_M5381,S1053,44.0,2026-04-15 11:22:12.514889,rejected,65.0,False,admin_assigned
MATCH_116,ALUMNI_M2693,S2067,44.0,2026-04-06 11:22:12.515281,rejected,,True,specific_request
MATCH_117,ALUMNI_M5629,S2340,72.5,2026-04-07 11:22:12.516871,accepted,36.0,True,auto_suggestion
MATCH_118,M4110,S1874,61.5,2026-04-27 11:22:12.517315,pending,49.0,True,admin_assigned
MATCH_119,ALUMNI_M3634,S3278,44.0,2026-04-16 11:22:12.517763,completed,69.0,False,auto_suggestion
MATCH_120,ALUMNI_M4732,S3960,53.57,2026-05-01 11:22:12.518177,pending,,False,high_compatibility
MATCH_121,M2455,S430,68.5,2026-04-09 11:22:12.518601,accepted,22.0,True,high_compatibility
MATCH_122,ALUMNI_M5421,S3886,44.0,2026-04-24 11:22:12.519007,rejected,,False,high_compatibility
MATCH_123,M4829,S626,51.0,2026-05-03 11:22:12.519395,accepted,14.0,False,high_compatibility
MATCH_124,M2259,S336,44.0,2026-04-29 11:22:12.520224,accepted,,True,auto_suggestion
MATCH_125,M2348,S340,55.0,2026-04-29 11:22:12.520649,pending,1.0,False,admin_assigned
MATCH_126,ALUMNI_M3304,S378,68.5,2026-04-28 11:22:12.521073,pending,58.0,True,specific_request
MATCH_127,M4183,S1945,68.5,2026-04-11 11:22:12.521450,completed,35.0,True,admin_assigned
MATCH_128,ALUMNI_M5585,S2903,51.0,2026-04-19 11:22:12.522940,completed,46.0,True,high_compatibility
MATCH_129,M4451,S4874,50.67,2026-05-06 11:22:12.523424,completed,,False,admin_assigned
MATCH_130,M421,S688,39.0,2026-04-29 11:22:12.523902,completed,10.0,True,specific_request
MATCH_131,ALUMNI_M1162,S741,57.67,2026-04-13 11:22:12.524301,pending,35.0,True,admin_assigned
MATCH_132,ALUMNI_M1874,S4107,51.0,2026-04-24 11:22:12.525778,accepted,13.0,True,admin_assigned
MATCH_133,ALUMNI_M2009,S2593,55.0,2026-04-16 11:22:12.526241,rejected,28.0,True,auto_suggestion
MATCH_134,M3623,S4416,44.33,2026-04-07 11:22:12.526650,accepted,,True,specific_request
MATCH_135,ALUMNI_M2009,S663,44.0,2026-04-08 11:22:12.527095,pending,20.0,True,high_compatibility
MATCH_136,ALUMNI_M1278,S2180,44.0,2026-05-04 11:22:12.527518,pending,15.0,False,high_compatibility
MATCH_137,ALUMNI_M575,S677,55.0,2026-04-24 11:22:12.527985,rejected,37.0,False,admin_assigned
MATCH_138,M2074,S2997,48.0,2026-04-06 11:22:12.528366,completed,,False,admin_assigned
MATCH_139,ALUMNI_M3465,S331,37.75,2026-04-13 11:22:12.529326,pending,39.0,False,high_compatibility
MATCH_140,M137,S3455,55.0,2026-04-17 11:22:12.529835,completed,10.0,True,auto_suggestion
MATCH_141,ALUMNI_M3282,S4146,44.33,2026-04-16 11:22:12.530092,accepted,38.0,False,high_compatibility
MATCH_142,ALUMNI_M2376,S3469,68.5,2026-04-20 11:22:12.530306,rejected,,False,admin_assigned
MATCH_143,M532,S2403,55.0,2026-04-19 11:22:12.530538,pending,71.0,False,auto_suggestion
MATCH_144,M4102,S447,51.0,2026-04-26 11:22:12.530818,rejected,,False,specific_request
MATCH_145,ALUMNI_M12,S2599,48.14,2026-05-06 11:22:12.531044,rejected,31.0,False,high_compatibility
MATCH_146,ALUMNI_M5516,S1621,61.5,2026-04-16 11:22:12.531244,accepted,23.0,True,auto_suggestion
MATCH_147,ALUMNI_M440,S3449,44.33,2026-04-28 11:22:12.531435,completed,,True,admin_assigned
MATCH_148,ALUMNI_M8,S3709,44.0,2026-04-13 11:22:12.531636,accepted,36.0,True,specific_request
MATCH_149,ALUMNI_M4588,S1463,41.33,2026-04-20 11:22:12.532990,pending,29.0,True,high_compatibility
MATCH_150,M2496,S1424,44.0,2026-04-08 11:22:12.533213,completed,29.0,True,admin_assigned
MATCH_151,ALUMNI_M4380,S2160,49.57,2026-05-01 11:22:12.533434,completed,6.0,False,high_compatibility
MATCH_152,ALUMNI_M4177,S3833,65.5,2026-05-03 11:22:12.533645,pending,5.0,False,admin_assigned
MATCH_153,M2438,S4656,51.0,2026-04-11 11:22:12.534014,pending,25.0,False,auto_suggestion
MATCH_154,ALUMNI_M2875,S3361,51.0,2026-04-08 11:22:12.534373,pending,14.0,True,auto_suggestion
MATCH_155,ALUMNI_M1419,S392,55.0,2026-04-09 11:22:12.534757,completed,,True,high_compatibility
