privacy_id,mentor_id,document_id,document_type,processing_step,timestamp,action_taken,data_retained,raw_file_deleted,encryption_method,compliance_check,audit_log,data_minimization_applied
PRIVACY_M0_DOC_M0_0_upload,M0,DOC_M0_0,Professional_Certificate,upload,2026-02-17 11:22:23.181074,encrypted_upload,encrypted_file_only,False,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_0_ocr_processing,M0,DOC_M0_0,Professional_Certificate,ocr_processing,2025-06-30 10:22:23.181102,metadata_extraction,extracted_text_only,True,AES-256-GCM,CCPA,True,True
PRIVACY_M0_DOC_M0_0_verification,M0,DOC_M0_0,Professional_Certificate,verification,2025-11-05 09:22:23.181116,automated_verification,verification_score_only,False,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_0_cleanup,M0,DOC_M0_0,Professional_Certificate,cleanup,2026-06-05 11:22:23.181127,permanent_deletion,verification_record_only,False,AES-256-GCM,CCPA,True,True
PRIVACY_M0_DOC_M0_1_upload,M0,DOC_M0_1,CV,upload,2026-01-25 11:22:23.181156,encrypted_upload,encrypted_file_only,False,AES-256-GCM,CCPA,True,True
PRIVACY_M0_DOC_M0_1_ocr_processing,M0,DOC_M0_1,CV,ocr_processing,2025-06-04 10:22:23.181165,metadata_extraction,extracted_text_only,True,AES-256-GCM,CCPA,True,True
PRIVACY_M0_DOC_M0_1_verification,M0,DOC_M0_1,CV,verification,2025-10-31 09:22:23.181175,automated_verification,verification_score_only,False,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_1_cleanup,M0,DOC_M0_1,CV,cleanup,2026-06-05 11:22:23.181183,permanent_deletion,verification_record_only,False,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_2_upload,M0,DOC_M0_2,CV,upload,2025-09-02 11:22:23.181206,encrypted_upload,encrypted_file_only,False,AES-256-GCM,CCPA,True,True
PRIVACY_M0_DOC_M0_2_ocr_processing,M0,DOC_M0_2,CV,ocr_processing,2025-07-14 10:22:23.181214,metadata_extraction,extracted_text_only,True,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_2_verification,M0,DOC_M0_2,CV,verification,2025-06-06 09:22:23.181222,automated_verification,verification_score_only,False,AES-256-GCM,PDPA,True,True
PRIVACY_M0_DOC_M0_2_cleanup,M0,DOC_M0_2,CV,cleanup,2026-06-05 11:22:23.181231,permanent_deletion,verification_record_only,False,AES-256-GCM,CCPA,True,True
PRIVACY_M0_DOC_M0_3_upload,M0,DOC_M0_3,Employment_Letter,upload,2025-07-05 11:22:23.181251,encrypted_upload,encrypted_file_only,False,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_3_ocr_processing,M0,DOC_M0_3,Employment_Letter,ocr_processing,2025-10-12 10:22:23.181258,metadata_extraction,extracted_text_only,True,AES-256-GCM,CCPA,True,True
PRIVACY_M0_DOC_M0_3_verification,M0,DOC_M0_3,Employment_Letter,verification,2025-08-26 09:22:23.181266,automated_verification,verification_score_only,False,AES-256-GCM,CCPA,True,True
PRIVACY_M0_DOC_M0_3_cleanup,M0,DOC_M0_3,Employment_Letter,cleanup,2026-06-05 11:22:23.181274,permanent_deletion,verification_record_only,False,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_4_upload,M0,DOC_M0_4,Employment_Letter,upload,2025-09-18 11:22:23.181294,encrypted_upload,encrypted_file_only,False,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_4_ocr_processing,M0,DOC_M0_4,Employment_Letter,ocr_processing,2025-07-22 10:22:23.181301,metadata_extraction,extracted_text_only,True,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_4_verification,M0,DOC_M0_4,Employment_Letter,verification,2026-03-24 09:22:23.181310,automated_verification,verification_score_only,False,AES-256-GCM,GDPR,True,True
PRIVACY_M0_DOC_M0_4_cleanup,M0,DOC_M0_4,Employment_Letter,cleanup,2026-06-05 11:22:23.181319,permanent_deletion,verification_record_only,False,AES-256-GCM,CCPA,True,True
