year,district,degree_program,university,cutoff_z
2020,Colombo,Medicine,Colombo,2.28
2020,Colombo,Medicine,Peradeniya,2.24
2020,Colombo,Medicine,Kelaniya,1.97
2020,Colombo,Medicine,Moratuwa,1.99
2020,Colombo,Medicine,Ruhuna,2.25
2020,Colombo,Engineering,Colombo,1.96
2020,Colombo,Engineering,Peradeniya,1.71
2020,Colombo,Engineering,Kelaniya,1.77
2020,Colombo,Engineering,Moratuwa,1.94
2020,Colombo,Engineering,Ruhuna,1.85
2020,Colombo,IT,Colombo,1.42
2020,Colombo,IT,Peradeniya,1.34
2020,Colombo,IT,Kelaniya,1.2
2020,Colombo,IT,Moratuwa,1.38
2020,Colombo,IT,Ruhuna,1.33
2020,Colombo,Business,Colombo,1.21
2020,Colombo,Business,Peradeniya,1.04
2020,Colombo,Business,Kelaniya,1.04
2020,Colombo,Business,Moratuwa,1.13
2020,Colombo,Business,Ruhuna,1.22
2020,Colombo,Arts,Colombo,0.81
2020,Colombo,Arts,Peradeniya,0.6
2020,Colombo,Arts,Kelaniya,0.96
2020,Colombo,Arts,Moratuwa,0.65
2020,Colombo,Arts,Ruhuna,0.92
2020,Gampaha,Medicine,Colombo,1.94
2020,Gampaha,Medicine,Peradeniya,2.04
2020,Gampaha,Medicine,Kelaniya,2.2
2020,Gampaha,Medicine,Moratuwa,2.24
2020,Gampaha,Medicine,Ruhuna,2.0
2020,Gampaha,Engineering,Colombo,1.67
2020,Gampaha,Engineering,Peradeniya,1.98
2020,Gampaha,Engineering,Kelaniya,1.98
2020,Gampaha,Engineering,Moratuwa,1.74
2020,Gampaha,Engineering,Ruhuna,1.99
2020,Gampaha,IT,Colombo,1.48
2020,Gampaha,IT,Peradeniya,1.41
2020,Gampaha,IT,Kelaniya,1.14
2020,Gampaha,IT,Moratuwa,1.28
2020,Gampaha,IT,Ruhuna,1.24
2020,Gampaha,Business,Colombo,1.39
2020,Gampaha,Business,Peradeniya,1.02
2020,Gampaha,Business,Kelaniya,1.09
2020,Gampaha,Business,Moratuwa,1.25
2020,Gampaha,Business,Ruhuna,1.36
2020,Gampaha,Arts,Colombo,0.81
2020,Gampaha,Arts,Peradeniya,0.78
2020,Gampaha,Arts,Kelaniya,0.98
