Job Title,Company,Job URL,Extracted_Skills
,Coullax (or equivalent),https://rooster.jobs/jobs/516419,"['Go', 'React', 'Docker', 'CI/CD', 'Golang', 'Next.js', 'LLMs', 'DevOps', 'LangChain', 'Web3', 'Kafka', 'blockchain', 'RAG']"
,Coullax (or equivalent),https://rooster.jobs/jobs/515990,"['Shell Scripting', 'Java', 'SQL']"
,Coullax (or equivalent),https://rooster.jobs/jobs/443690,"['Docker', 'SQL', 'Python']"
,Coullax (or equivalent),https://rooster.jobs/jobs/516370,['SQL']
,Coullax (or equivalent),https://rooster.jobs/jobs/509154,['SQL']
,Coullax (or equivalent),https://rooster.jobs/jobs/516405,"['Docker', 'React', 'PostgreSQL', 'Java']"
,Coullax (or equivalent),https://rooster.jobs/jobs/516418,"['Go', 'React', 'PostgreSQL', 'Java', 'Next.js', 'blockchain', 'Python', 'Blockchain']"
,Coullax (or equivalent),https://rooster.jobs/jobs/515973,"['Docker', 'Python']"
,Coullax (or equivalent),https://rooster.jobs/jobs/512028,"['CI/CD', 'React', 'PostgreSQL', 'Docker', 'Python']"
,Coullax (or equivalent),https://rooster.jobs/jobs/509286,"['Docker', 'Python']"
,Coullax (or equivalent),https://rooster.jobs/jobs/508375,[]
Ready to kickstart your career in software engineering?,Coullax (or equivalent),https://rooster.jobs/jobs/446914,"['Golang', 'Java', 'Python']"
,Coullax (or equivalent),https://rooster.jobs/jobs/446444,"['DevOps', 'Python']"
,Coullax (or equivalent),https://rooster.jobs/jobs/446301,"['Docker', 'Java']"
,Coullax (or equivalent),https://rooster.jobs/jobs/516725,"['Golang', 'React', 'Python']"
,Coullax (or equivalent),https://rooster.jobs/jobs/516420,"['Go', 'React', 'PostgreSQL', 'Next.js', 'LLMs', 'LangChain', 'blockchain', 'Python', 'Blockchain']"
,Coullax (or equivalent),https://rooster.jobs/jobs/516372,"['CI/CD', 'React', 'SQL']"
,Coullax (or equivalent),https://rooster.jobs/jobs/514242,"['Golang', 'React', 'Python']"
,Coullax (or equivalent),https://rooster.jobs/jobs/515195,"['Docker', 'CI/CD', 'React']"
,Coullax (or equivalent),https://rooster.jobs/jobs/507144,"['Golang', 'React', 'Python']"
